"Time","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn"
2025-01-29 22:19:45,3.10,NaN,,NaN
2025-01-29 22:20:00,3.11,NaN,,NaN
2025-01-29 22:20:15,NaN,NaN,,NaN
2025-01-29 22:20:30,NaN,NaN,,NaN
2025-01-29 22:20:45,NaN,NaN,,NaN
2025-01-29 22:21:00,NaN,NaN,,NaN
2025-01-29 22:21:15,2.62,NaN,,NaN
2025-01-29 22:21:30,3.36,NaN,,NaN
2025-01-29 22:21:45,4.05,NaN,,NaN
2025-01-29 22:22:00,3.85,NaN,,NaN
2025-01-29 22:22:15,3.68,NaN,,NaN
2025-01-29 22:22:30,3.78,NaN,,NaN
2025-01-29 22:22:45,3.97,NaN,,NaN
2025-01-29 22:23:00,4.07,NaN,,NaN
