Iteración, tamaño, formato, id, enviadas, recibidas
1, 1,.jpg, 1522896922, 146, 145
1, 1,.png, -819289173, 126, 126
1, 1,.png, 1817436297, 112, 112
1, 1,.png, -76033594, 139, 139
1, 1,.png, 2036358796, 121, 121
1, 1,.png, -134293127, 128, 128
1, 1,.png, -892016752, 140, 140
1, 1,.png, -1551538725, 128, 128
1, 1,.png, -1305577835, 115, 115
1, 1,.png, -780314202, 119, 119
1, 1,.png, -435901738, 128, 128
1, 1,.png, 1701609455, 138, 138
1, 1,.png, -129851297, 121, 121
1, 1,.png, -1449038648, 131, 131
1, 1,.png, 1007408334, 139, 139
1, 1,.png, 1929312705, 122, 122
1, 1,.png, 955090055, 122, 122
1, 1,.png, -205430553, 128, 128
1, 1,.png, -1251480716, 127, 127
1, 1,.png, 1890225859, 119, 119
1, 1,.png, -94334807, 126, 126
1, 1,.png, 2036409614, 126, 126
1, 1,.png, -878127508, 127, 127
1, 1,.png, -691938340, 118, 118
1, 1,.png, 1837751158, 132, 132
1, 1,.png, 1393552937, 113, 113
1, 1,.png, 1318986425, 116, 116
1, 1,.png, -81242809, 116, 116
1, 1,.png, -1901521916, 137, 137
1, 1,.png, 1985835571, 129, 129
1, 1,.png, 635674445, 122, 122
1, 2,.jpg, 1419571804, 121, 121
1, 2,.jpg, 1498953252, 124, 124
1, 2,.jpg, 873579267, 150, 150
1, 2,.jpg, -375916425, 101, 101
1, 2,.jpg, -1429993017, 94, 94
1, 2,.jpg, 1295790585, 128, 128
1, 2,.jpg, 1334889348, 149, 149
1, 2,.jpg, 272882421, 140, 140
1, 2,.jpg, 1152327807, 148, 148
1, 2,.jpg, -440468894, 131, 131
1, 2,.jpg, -1789486712, 105, 105
1, 2,.jpg, 2025559985, 135, 135
1, 2,.jpg, 393668550, 119, 119
1, 2,.jpg, -901995609, 122, 122
1, 2,.jpg, 1266132000, 126, 126
1, 2,.jpg, -2031133202, 153, 153
1, 2,.jpg, 322560893, 115, 115
1, 2,.jpg, -1119851980, 148, 148
1, 2,.jpg, 1459660270, 109, 109
1, 2,.jpg, 37506028, 122, 122
1, 2,.jpg, 798974732, 109, 109
1, 2,.jpg, -272912009, 132, 132
1, 2,.jpg, -191449135, 143, 143
1, 2,.jpg, -944376219, 141, 141
1, 2,.jpg, -1046911572, 141, 141
1, 2,.jpg, 1264195084, 116, 116
1, 2,.jpg, -780298117, 115, 115
1, 2,.jpg, -564395156, 129, 129
1, 2,.jpg, 704741963, 146, 146
1, 2,.jpg, -1738911959, 92, 92
1, 2,.png, 579980175, 39, 37
1, 2,.png, 1586599365, 45, 43
1, 2,.png, 238862198, 70, 70
1, 2,.png, 770897647, 44, 43
1, 2,.png, 762327327, 33, 32
1, 2,.png, 302983529, 48, 47
1, 2,.png, -1389115437, 43, 41
1, 2,.png, -706361238, 61, 59
1, 2,.png, 1516560461, 60, 60
1, 2,.png, 1712468346, 39, 37
1, 2,.png, -1048319820, 36, 34
1, 2,.png, 678423709, 39, 37
1, 2,.png, 1204452106, 47, 45
1, 2,.png, -646215562, 39, 37
1, 2,.png, 1321750450, 35, 33
1, 2,.png, -1449628861, 44, 43
1, 2,.png, 705587907, 58, 58
1, 2,.png, -606818452, 68, 68
1, 2,.png, -1320160573, 71, 70
1, 2,.png, 1535588809, 42, 39
1, 2,.png, 1857079766, 58, 57
1, 2,.png, -375641313, 53, 50
1, 2,.png, 628044505, 44, 42
1, 2,.png, 375866624, 67, 67
1, 2,.png, -381787691, 30, 27
1, 2,.png, -800593337, 76, 76
1, 2,.png, -1295855206, 31, 30
1, 2,.png, 34613818, 63, 63
1, 2,.png, 1960879537, 41, 40
1, 2,.png, 1507941917, 36, 33
1, 3,.jpg, 1564168543, 58, 58
1, 3,.jpg, 1572614924, 78, 78
1, 3,.jpg, -220562615, 73, 73
1, 3,.jpg, -1508960492, 66, 66
1, 3,.jpg, -1217637081, 79, 79
1, 3,.jpg, 656889227, 79, 79
1, 3,.jpg, -263645888, 62, 62
1, 3,.jpg, -1480121720, 96, 96
1, 3,.jpg, -740685779, 72, 72
1, 3,.jpg, 1485461135, 68, 68
1, 3,.jpg, 1319825572, 75, 75
