"Time","reducirimagen.openfaas-fn"
2025-07-03 11:20:00,145
2025-07-03 11:20:02,145
2025-07-03 11:20:04,144
2025-07-03 11:20:06,144
2025-07-03 11:20:08,147
2025-07-03 11:20:10,147
2025-07-03 11:20:12,147
2025-07-03 11:20:14,145
2025-07-03 11:20:16,145
2025-07-03 11:20:18,145
2025-07-03 11:20:20,145
2025-07-03 11:20:22,145
2025-07-03 11:20:24,144
2025-07-03 11:20:26,144
2025-07-03 11:20:28,145
2025-07-03 11:20:30,145
2025-07-03 11:20:32,145
2025-07-03 11:20:34,144
2025-07-03 11:20:36,144
2025-07-03 11:20:38,147
2025-07-03 11:20:40,147
2025-07-03 11:20:42,147
2025-07-03 11:20:44,146
2025-07-03 11:20:46,146
2025-07-03 11:20:48,145
2025-07-03 11:20:50,146
2025-07-03 11:20:52,145
2025-07-03 11:20:54,144
2025-07-03 11:20:56,144
2025-07-03 11:20:58,143
2025-07-03 11:21:00,144
2025-07-03 11:21:02,144
2025-07-03 11:21:04,145
2025-07-03 11:21:06,145
2025-07-03 11:21:08,143
2025-07-03 11:21:10,145
2025-07-03 11:21:12,145
2025-07-03 11:21:14,147
2025-07-03 11:21:16,147
2025-07-03 11:21:18,145
2025-07-03 11:21:20,146
2025-07-03 11:21:22,146
2025-07-03 11:21:24,147
2025-07-03 11:21:26,147
2025-07-03 11:21:28,145
2025-07-03 11:21:30,146
2025-07-03 11:21:32,146
2025-07-03 11:21:34,147
2025-07-03 11:21:36,147
2025-07-03 11:21:38,146
2025-07-03 11:21:40,146
2025-07-03 11:21:42,146
2025-07-03 11:21:44,145
2025-07-03 11:21:46,145
2025-07-03 11:21:48,144
2025-07-03 11:21:50,144
2025-07-03 11:21:52,145
2025-07-03 11:21:54,147
2025-07-03 11:21:56,147
2025-07-03 11:21:58,146
2025-07-03 11:22:00,146
2025-07-03 11:22:02,146
2025-07-03 11:22:04,147
2025-07-03 11:22:06,147
2025-07-03 11:22:08,146
2025-07-03 11:22:10,146
2025-07-03 11:22:12,146
2025-07-03 11:22:14,146
2025-07-03 11:22:16,146
2025-07-03 11:22:18,144
2025-07-03 11:22:20,144
2025-07-03 11:22:22,144
2025-07-03 11:22:24,145
2025-07-03 11:22:26,145
2025-07-03 11:22:28,144
2025-07-03 11:22:30,144
2025-07-03 11:22:32,144
2025-07-03 11:22:34,145
2025-07-03 11:22:36,145
2025-07-03 11:22:38,144
2025-07-03 11:22:40,143
2025-07-03 11:22:42,144
2025-07-03 11:22:44,147
2025-07-03 11:22:46,147
2025-07-03 11:22:48,146
2025-07-03 11:22:50,145
2025-07-03 11:22:52,146
2025-07-03 11:22:54,147
2025-07-03 11:22:56,147
2025-07-03 11:22:58,146
2025-07-03 11:23:00,145
2025-07-03 11:23:02,146
2025-07-03 11:23:04,147
2025-07-03 11:23:06,147
2025-07-03 11:23:08,145
2025-07-03 11:23:10,143
2025-07-03 11:23:12,144
2025-07-03 11:23:14,145
2025-07-03 11:23:16,145
2025-07-03 11:23:18,144
2025-07-03 11:23:20,143
2025-07-03 11:23:22,144
2025-07-03 11:23:24,145
2025-07-03 11:23:26,145
2025-07-03 11:23:28,144
2025-07-03 11:23:30,143
2025-07-03 11:23:32,144
2025-07-03 11:23:34,145
2025-07-03 11:23:36,146
2025-07-03 11:23:38,146
2025-07-03 11:23:40,146
2025-07-03 11:23:42,146
2025-07-03 11:23:44,147
2025-07-03 11:23:46,147
2025-07-03 11:23:48,146
2025-07-03 11:23:50,146
2025-07-03 11:23:52,146
2025-07-03 11:23:54,146
2025-07-03 11:23:56,146
2025-07-03 11:23:58,144
2025-07-03 11:24:00,144
2025-07-03 11:24:02,144
2025-07-03 11:24:04,145
2025-07-03 11:24:06,145
2025-07-03 11:24:08,144
2025-07-03 11:24:10,144
2025-07-03 11:24:12,144
2025-07-03 11:24:14,145
2025-07-03 11:24:16,145
2025-07-03 11:24:18,144
2025-07-03 11:24:20,144
2025-07-03 11:24:22,144
2025-07-03 11:24:24,145
2025-07-03 11:24:26,145
2025-07-03 11:24:28,144
2025-07-03 11:24:30,145
2025-07-03 11:24:32,145
2025-07-03 11:24:34,147
2025-07-03 11:24:36,147
2025-07-03 11:24:38,146
2025-07-03 11:24:40,146
2025-07-03 11:24:42,145
2025-07-03 11:24:44,146
2025-07-03 11:24:46,145
2025-07-03 11:24:48,144
2025-07-03 11:24:50,144
2025-07-03 11:24:52,143
2025-07-03 11:24:54,145
2025-07-03 11:24:56,145
2025-07-03 11:24:58,144
2025-07-03 11:25:00,144
