sep=,
"Time","reducirimagen-755894457-2dwpd","reducirimagen-755894457-2nqj2","reducirimagen-755894457-6pc9g","reducirimagen-755894457-6q5m5","reducirimagen-755894457-6xrp6","reducirimagen-755894457-798hp","reducirimagen-755894457-7xwkm","reducirimagen-755894457-8xbk5","reducirimagen-755894457-bwsr6","reducirimagen-755894457-cgd2k","reducirimagen-755894457-dvw22","reducirimagen-755894457-fs6fk","reducirimagen-755894457-fvp9d","reducirimagen-755894457-fwtfs","reducirimagen-755894457-gcgbr","reducirimagen-755894457-hlz85","reducirimagen-755894457-j29q8","reducirimagen-755894457-j8rp8","reducirimagen-755894457-jcjhb","reducirimagen-755894457-jclgd","reducirimagen-755894457-krcrr","reducirimagen-755894457-lcp7m","reducirimagen-755894457-lhss9","reducirimagen-755894457-mdpdd","reducirimagen-755894457-mwqjp","reducirimagen-755894457-ngfdz","reducirimagen-755894457-nv2rd","reducirimagen-755894457-pb55s","reducirimagen-755894457-pxsqg","reducirimagen-755894457-q6tkg","reducirimagen-755894457-qk654","reducirimagen-755894457-r4scc","reducirimagen-755894457-slz2k","reducirimagen-755894457-t8v66","reducirimagen-755894457-vd95h","reducirimagen-755894457-vnqdn","reducirimagen-755894457-vx5m8","reducirimagen-755894457-w6xnw","reducirimagen-755894457-wxhsr","reducirimagen-755894457-xpnnj","reducirimagen-755894457-zhvt9"
2025-04-15 15:56:40,,,,,,,,,0.907,,,,,,,0.898,,,,,,,,,,,,,,,,0.734,,0.392,,,,,,,0.781
2025-04-15 15:57:00,,,,,,,,,1.00,,,,,,,0.809,,,,,,,,,,,,,,,,0.578,,0.668,,,,,,,0.670
2025-04-15 15:57:20,,,,,,,,,0.494,,,,,,,0.839,,,,,,,,,,,,,,,,0.866,,0.852,,,,,,,0.735
2025-04-15 15:57:40,,,,,,,,,0.624,,,,,,,0.832,,,,,,,,,,,,,,,,0.712,,0.854,,,,,,,0.679
2025-04-15 15:58:00,,,,,,,,,0.891,,,,,,,0.811,,,,,,,,,,,,,,,,0.801,,0.699,,,,,,,0.771
2025-04-15 15:58:20,,,,,,,,,0.800,,,,,,,0.861,,,,,,,,,,,,,,,,0.746,,0.666,,,,,,,0.864
2025-04-15 15:58:40,,,,,,,,,0.928,,,,,,,0.725,,,,,,,,,,,,,,,,0.697,,0.692,,,,,,,
2025-04-15 15:59:00,,,,,,,,,0.631,,,,,,,0.845,,,,,,,,,,,,,,,,0.792,,0.453,,,,,,,0.704
2025-04-15 15:59:20,,,,,,,,,0.941,,,,,,,0.756,,,,,,,,,,,,,,,,0.633,,0.543,,,,,,,0.516
2025-04-15 15:59:40,,,,,,,,,0.833,,,,,,,0.775,,,,,,,,,,,,,,,,0.603,,0.740,,,,,,,0.609
2025-04-15 16:00:00,,,,,,,,,0.735,,,,,,,0.805,,,,,,,,,,,,,,,,0.877,,0.543,,,,,,,0.829
2025-04-15 16:00:20,,,,,,,,,0.895,,,,,,,0.772,,,,,,,,,,,,,,,,0.832,,0.673,,,,,,,0.839
2025-04-15 16:00:40,,,,,,,,,0.859,,,,,,,0.853,,,,,,,,,,,,,,,,0.845,,0.714,,,,,,,0.676
2025-04-15 16:01:00,,,,,,,,,0.773,,,,,,,0.822,,,,,,,,,,,,,,,,0.910,,0.691,,,,,,,0.694
2025-04-15 16:01:20,,,,,,,,,0.899,,,,,,,0.838,,,,,,,,,,,,,,,,0.578,,0.693,,,,,,,0.643
2025-04-15 16:01:40,,,,,,,,,,,,,,,,0.938,,,,,,,,,,,,,,,,0.720,,0.661,,,,,,,0.687
2025-04-15 16:02:00,,,,,,,,,0.894,,,,,,,0.976,,,,,,,,,,,,,,,,,,0.590,,,,,,,0.642
2025-04-15 16:02:20,,,,,,,,,0.791,,,,,,,0.816,,,,,,,,,,,,,,,,0.839,,0.834,,,,,,,0.560
2025-04-15 16:02:40,,,,,,,,,0.580,,,,,,,0.851,,,,,,,,,,,,,,,,0.813,,0.737,,,,,,,0.707
2025-04-15 16:03:00,,,,,,,,,0.814,,,,,,,0.824,,,,,,,,,,,,,,,,0.813,,0.732,,,,,,,0.771
2025-04-15 16:03:20,,,,,,,,,0.844,,,,,,,0.907,,,,,,,,,,,,,,,,0.584,,,,,,,,,0.660
2025-04-15 16:03:40,,,,,,,,,0.936,,,,,,,0.459,,,,,,,,,,,,,,,,0.822,,0.589,,,,,,,0.728
2025-04-15 16:04:00,,,,,,,,,0.901,,,,,,,0.814,,,,,,,,,,,,,,,,0.839,,0.680,,,,,,,0.800
2025-04-15 16:04:20,,,,,,,,,0.936,,,,,,,0.793,,,,,,,,,,,,,,,,0.721,,0.722,,,,,,,0.641
2025-04-15 16:04:40,,,,,,,,,0.821,,,,,,,0.822,,,,,,,,,,,,,,,,0.534,,0.667,,,,,,,0.777
2025-04-15 16:05:00,,,,,,,,,0.822,,,,,,,0.554,,,,,,,,,,,,,,,,,,0.709,,,,,,,0.814
2025-04-15 16:05:20,,,,,,,,,0.716,,,,,,,0.850,,,,,,,,,,,,,,,,0.887,,0.558,,,,,,,0.727
2025-04-15 16:05:40,,,,,,,,,0.795,,,,,,,0.810,,,,,,,,,,,,,,,,0.901,,0.739,,,,,,,0.666
2025-04-15 16:06:00,,,,,,,,,0.863,,,,,,,0.770,,,,,,,,,,,,,,,,0.748,,,,,,,,,0.497
2025-04-15 16:06:20,,,,,,,,,0.968,,,,,,,0.676,,,,,,,,,,,,,,,,0.794,,,,,,,,,0.734
2025-04-15 16:06:40,,,,,,,,,0.742,,,,,,,0.773,,,,,,,,,,,,,,,,,,0.782,,,,,,,0.844
2025-04-15 16:07:00,,,,,,,,,0.823,,,,,,,0.834,,,,,,,,,,,,,,,,,,0.537,,,,,,,
2025-04-15 16:07:20,,,,,,,,,0.752,,,,,,,0.871,,,,,,,,,,,,,,,,0.862,,0.675,,,,,,,0.747
2025-04-15 16:07:40,,,,,,,,,0.763,,,,,,,0.813,,,,,,,,,,,,,,,,0.757,,0.801,,,,,,,0.794
2025-04-15 16:08:00,,,,,,,,,0.839,,,,,,,,,,,,,,,,,,,,,,,0.873,,0.763,,,,,,,0.433
2025-04-15 16:08:20,,,,,,,,,0.161,,,,,,,0.0103,,,,,,,,,,,,,,,,0.0128,,0.338,,,,,,,0.120
2025-04-15 16:08:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000880,,,,,,,,,0.00127
2025-04-15 16:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125
2025-04-15 16:09:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00800
2025-04-15 16:09:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112
2025-04-15 16:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185
2025-04-15 16:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.951
2025-04-15 16:11:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955,,,,,,,,,,,,,1.03
2025-04-15 16:11:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,1.01
2025-04-15 16:12:00,,,0.916,,,,,,,,,,,,,,,,,,,,,,,,,0.966,,,,,,,,,,,,,0.926
2025-04-15 16:12:20,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,0.828,,,,,,,,,,,,,0.912
2025-04-15 16:12:40,,,0.793,,,,,,,,,,,,,,,,,,,0.962,,,,,,0.617,,,,,,,,,,,,,0.889
2025-04-15 16:13:00,,,0.667,,,,,,,,,,,,,,,,,,,0.941,,,,,,0.743,,,,,,,,,,,,,0.760
2025-04-15 16:13:20,,,0.794,,,,,,,,,0.839,,,,,,,,,,0.628,,,,,,0.710,,,,,,,,,,,,,0.719
2025-04-15 16:13:40,,,0.783,,,,,,,,,,,,,,,,,,,0.820,,,,,,0.878,,,,,,,,,,,,,0.707
2025-04-15 16:14:00,,,0.827,,,,,,,,,0.681,,,,,,,,,,0.712,,,,,,,,,,,,,,,,,,,0.724
2025-04-15 16:14:20,,,0.907,,,,,,,,,0.813,,,,,,,,,,0.723,,,,,,,,,,,,,,,,,,,0.618
